observable_value,artifact_details,data_source,classification,STIX_supported,proprietary_artifact,parser,notes,description,technique_num,description_id,deprecated,related_id,file name,url,Added by,,,,,,,,,
Backdoor.Oldrea,Described,Malware analysis / Threat Intelligence,Malware,Full: Malware,Proprietary-Documented Technology,,Payload referenced via MITRE ATT&CK (S0093) that gathers server information.,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) payload gathers server information that includes CLSID, server name, Program ID, OPC version, vendor information, running state, group count, and server bandwidth. This information helps indicate the role the server has in the control process. (Citation: ICS-CERT August 2018) (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0888,relationship--067932c3-0011-4ca2-9bbe-721c631e4e41,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
Backdoor.Oldrea,Described,system logs,Malware,Full: Malware,Open/Standard Technology,,Refers to a backdoor malware entry (MITRE ATT&CK ID S0093) that can be detected via host-based logs.,"Execution of [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) relies on a user opening a trojanized installer attached to an email. (Citation: Daavid Hentunen, Antti Tikkanen June 2014) (Citation: Kyle Wilhoit)",T0863,relationship--5bb313a8-8407-4ec1-a4b0-683ded7f3302,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
Backdoor.Oldrea,Described,system logs,Software/Tool,Full: Malware,Proprietary-Documented Technology,,"Referenced with a MITRE link, identifying a specific malware family.","Using OPC, a component of [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) gathers any details about connected devices and sends them back to the C2 for the attackers to analyze. (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0802,relationship--8f76d408-be8a-478e-8a5a-aab1d1f96572,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
Backdoor.Oldrea,Described,Threat Intelligence Feeds,Software/Tool,Full: Malware,Open/Standard Technology,,Referenced via MITRE ATT&CK (S0093); a payload with the capability to enumerate OPC information.,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) payload has the capability of enumerating OPC tags, in addition to more generic OPC server information. The server data and tag names can provide information about the names and function of control devices. (Citation: ICS-CERT August 2018) (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0861,relationship--90d9c8e3-0250-4096-8d98-7ca1d324d654,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
Backdoor.Oldrea ICS malware plugin,Described,system logs,Software/Tool,Full: Malware,Proprietary-Documented Technology,,Referenced with MITRE ATT&CK link (S0093),"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) ICS malware plugin relies on Windows networking (WNet) to discover all the servers, including OPC servers, that are reachable by the compromised machine over the network. (Citation: Julian Rrushi, Hassan Farhangi, Clay Howey, Kelly Carmichael, Joey Dabell December 2015)",T0846,relationship--3f76d408-be8a-478e-8a5a-aab1d1f96572,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
Backdoor.Oldrea payload,Described,ICS data,Software/Tool,Full: Malware,Open/Standard Technology,,Referenced via MITRE ATT&CK (S0093); a known malware payload impacting ICS environments.,The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) payload has caused multiple common OPC platforms to intermittently crash. This could cause a denial of service effect on applications reliant on OPC communications. (Citation: ICS-CERT August 2018),T0814,relationship--d90aeeb6-3686-483a-8403-6514ecfe1a50,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
Backdoor.Oldrea RAT,Described,endpoint logs / threat intelligence feeds,Software/Tool,No,Proprietary-Undocumented Technology,,Specific RAT with a MITRE ATT&CK reference: https://attack.mitre.org/software/S0093,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) RAT is distributed through trojanized installers planted on compromised vendor sites. (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0862,relationship--6d822f86-5793-403a-b176-5d533f6b81b3,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
Backdoor.Oldrea RAT,Described,"threat intelligence feeds, malware analysis reports",Software/Tool,Full: Malware,Open/Standard Technology,,Identified via MITRE ATT&CK reference (https://attack.mitre.org/software/S0093),"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) RAT is distributed through a trojanized installer attached to emails. (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0865,relationship--e0aee02c-b424-4781-be10-793d71594c31,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
C2,Mentioned,network logs,Network Entity,No,Open/Standard Technology,,Generic reference to a command and control server.,"Using OPC, a component of [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) gathers any details about connected devices and sends them back to the C2 for the attackers to analyze. (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0802,relationship--8f76d408-be8a-478e-8a5a-aab1d1f96572,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
CLSID,Mentioned,ICS data,Server Information,No,Open/Standard Technology,,Identifier for COM objects as collected from the server.,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) payload gathers server information that includes CLSID, server name, Program ID, OPC version, vendor information, running state, group count, and server bandwidth. This information helps indicate the role the server has in the control process. (Citation: ICS-CERT August 2018) (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0888,relationship--067932c3-0011-4ca2-9bbe-721c631e4e41,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
emails,Mentioned,email server logs,Email Message,Full: Email Message,Open/Standard Technology,,Emails used as the delivery mechanism for the trojanized installer,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) RAT is distributed through a trojanized installer attached to emails. (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0865,relationship--e0aee02c-b424-4781-be10-793d71594c31,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
