===== ranking_results/ranking_results (7).txt =====
md file name: /content/validation/MAR-17-352-01 HatMan - Safety System Targeted Malware (Update B).md

md file name: /content/validation/KillDisk Variant Hits Latin American Finance Industry _ Trend Micro (US).md

md file name: /content/validation/Malware Shuts Down German Nuclear Power Plant on Chernobyl's 30th Anniversary.md

md file name: /content/validation/joint-advisory-shows-new-sandworm-malware-cyclops-blink-replaces-vpnfilter.md

md file name: /content/validation/KillDisk Variant Hits Latin American Financial Groups _ Trend Micro (US).md

md file name: /content/validation/Win32_Industroyer.md

===== ranking_results/ranking_results (8).txt =====
md file name: /content/validation/MAR-17-352-01 HatMan - Safety System Targeted Malware (Update B).md

md file name: /content/validation/KillDisk Variant Hits Latin American Financial Groups _ Trend Micro (US).md

md file name: /content/validation/joint-advisory-shows-new-sandworm-malware-cyclops-blink-replaces-vpnfilter.md

md file name: /content/validation/Win32_Industroyer.md

md file name: /content/validation/KillDisk Variant Hits Latin American Finance Industry _ Trend Micro (US).md

md file name: /content/validation/Malware Shuts Down German Nuclear Power Plant on Chernobyl's 30th Anniversary.md

===== ranking_results/ranking_results _first.txt =====
md file name: /content/validation/2010-071400-3123-99.md

| 1 | `Symdiag tool` → `Mentioned` | CORRECT | It's a generic tool name that cannot be used directly for automated detection. |
| 2 | `Symantec Security Response` → `Mentioned` | CORRECT | It's a service name reference and not a unique, searchable indicator. |
| 3 | `LiveUpdate™` → `Mentioned` | CORRECT | It's merely a branded product name without actionable properties. |
| 4 | `Symantec endpoints` → `Mentioned` | CORRECT | It describes a group of endpoints in a generic way that isn’t directly detectable. |

md file name: /content/validation/report_52.md

| 1 | `Ransomware in the CIS` → `Mentioned` | CORRECT | It is a conceptual reference rather than a concrete, machine-detectable indicator. |
| 2 | `QUSERCENTRICS` → `Actionable` | CORRECT | The string is a complete, unique identifier that can be directly matched in logs. |
| 3 | `Cookiebot` → `Actionable` | CORRECT | The product name is specific and complete, making it suitable for automated detection. |

| 4 | 0x23:0x0C → Actionable | CORRECT | The value is a complete and exact memory artifact that can be directly matched in a detection rule. |
| 5 | 0x11 → Described | CORRECT | The offset value is too generic and ambiguous to function as a unique detection indicator without additional context. |
| 6 | 0x33 → Described | CORRECT | Being a simple selector value, it is non‑unique and insufficient for precise automated detection. |
| 7 | retf → Mentioned | CORRECT | The term is used conceptually to denote an assembly instruction rather than a unique, actionable artifact. |
| 8 | 0xCB → Described | CORRECT | Although complete, this opcode is common and ambiguous, making it unsuitable as a directly actionable indicator. |

| 9 | 0x23:0x0C → Actionable | CORRECT | It is a complete, concrete memory address that can be directly matched in a detection rule. |
| 10 | retf → Mentioned | CORRECT | "retf" is a common assembly instruction and is too generic to serve as a unique detection indicator. |
| 11 | RVA address 6-7 → Described | CORRECT | It describes an address range rather than providing a unique, exact value for automated detection. |
| 12 | Heaven's Gate → Mentioned | CORRECT | It names an exploit technique conceptually, without being a unique, actionable artifact. |

| 13 | exp → Described | CORRECT | The value “exp” is an ambiguous ransom note filename template that isn’t unique enough for direct automated detection. |
| 14 | ımg → Described | CORRECT | As a template extracted from configuration, “ımg” is ambiguous and not unique enough to be considered actionable. |
| 15 | Subscribe → Described | CORRECT | “Subscribe” is a common keyword taken from configuration and lacks the uniqueness needed for an actionable indicator. |
| 16 | QUISERCENTRICS → Described | INCORRECT — should be "Actionable" because it is a complete and unique indicator string that can be directly matched by a detection rule. | It appears as a standalone, specific string from the configuration that affords low false‑positive matching. |
